"Country Name","Country Code","Indicator Name","Indicator Code",Attribute,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,"Base Year",
"Togo","742","Net Primary Income from Abroad, Nominal, Domestic Currency","NGDPNPI_XDC","Value","-17700000000",,,,,,,,,,,,,,,,,,,"",
"Philippines","566","Net Primary Income from Abroad, Nominal, Domestic Currency","NGDPNPI_XDC","Value","616161805419.591","705159469498.2","780811788700.47","823003317771.124","913389678562.252","1053781498374.57","1114927775220.38","1175445224257.01","1342214958344.55","1712089975420.19","1848951758489.73","1920972209625.21","2166150715160.92","2480579778076.88","2676778741991.59","2792365132738.71","2950393605986.27","3200314421175.37",,"",
"Namibia","728","Net Primary Income from Abroad, Nominal, Domestic Currency","NGDPNPI_XDC","Value","230000000","-10000000","-2165940547.079","-1731896993.8286","-5295325654.1852",,,"-1144065019.0101","-1345297166.1207","-1423866870.95711","-3233591088.19061","-2416832013.9895","-4246683504.89099","1216523760.573","5774988891.58499",,,,,"",
"Iceland","176","Net Primary Income from Abroad, Nominal, Domestic Currency","NGDPNPI_XDC","Value","740269000000","905564000000","885319000000","968075000000","1094362000000","1481753000000","1948047000000","2203787000000","2437193000000","2143681000000","1977439000000","2069501000000","2356413000000","2429572000000","2326424000000",,,,,"",
"Bulgaria","918","Net Primary Income from Abroad, Nominal, Domestic Currency","NGDPNPI_XDC","Value","17796000000","20966000000","20949000000","22827000000","25766000000","28790000000","32310000000","38417000000","46321000000","44355000000","47993000000","50154000000","53674000000","57184000000","55586000000","59415000000","65349000000","75191000000",,"",
"Indonesia","536","Net Primary Income from Abroad, Nominal, Domestic Currency","NGDPNPI_XDC","Value","-92161800000","-61051200000","-54513100000","-77413900000","-105350112640","-135000486600","-142268908660","-162484685000","-175865177000","-196219545050","-182770855642.288","-216892693032.048","-243192953174.455","-285326217525.883","-354393135266.012","-378322027510.156","-420088240000",,,"",
"St. Kitts and Nevis","361","Net Primary Income from Abroad, Nominal, Domestic Currency","NGDPNPI_XDC","Value","-81290000","-93380000","-102770170","-118145143","-105034400","-94873500","-87317485","-83550100","-92173675","-91533381","-78670049","-80043258","-64068788","-60877232","-74802862",,,,,"",
"Trinidad and Tobago","369","Net Primary Income from Abroad, Nominal, Domestic Currency","NGDPNPI_XDC","Value","-3950100000","-3350300000","-3030000000","-4294100000","-2491700000","-4762000000","-5877700000","-6072100000","-5652000000",,,,,,,,,,,"",
"Singapore","576","Net Primary Income from Abroad, Nominal, Domestic Currency","NGDPNPI_XDC","Value","-1012600000","-1674700000","-4608300000","-5859100000","-13591300000","-14023100000","-8338900000","-8556600000","-12267600000","-12969000000","-1834500000","-9255100000","-13290300000","-12478400000","-10024400000","-18155900000","-13119200000",,,"",
"Botswana","616","Net Primary Income from Abroad, Nominal, Domestic Currency","NGDPNPI_XDC","Value","-1502500000","-1700600000",,,,,,,,,,,,,,,,,,"",
"Kenya","664","Net Primary Income from Abroad, Nominal, Domestic Currency","NGDPNPI_XDC","Value","-10139700800","-9523670000","-11274584000","-6728094000","-10016981849.0842","-8194122219.08423","-5053000000","-9706000000","-3127000000","-2926020000","-12493000000",,,,,,,,,"",
"Dominica","321","Net Primary Income from Abroad, Nominal, Domestic Currency","NGDPNPI_XDC","Value","-106160000","-67789000","-75412040","-72943685","-89999248.8","-78244680","-40511654","-52960140","-49507403","-36865929","-25491219","-28479027","-49291222","-52834656","-55047664",,,,,"",
"Congo, Dem. Rep. of the","636","Net Primary Income from Abroad, Nominal, Domestic Currency","NGDPNPI_XDC","Value","-8753200000000","-112581479691917","-108742984303333","-72408883100000","-150614578808182",,,,,,,,,,,,,,,"",
"Hungary","944","Net Primary Income from Abroad, Nominal, Domestic Currency","NGDPNPI_XDC","Value","10922077000000","12190257000000","13270235000000","14971803000000","17468024000000","18274955000000","20564276000000","22986410000000","24745148000000","25405168000000","25325936000000","25286232000000","27204762000000","27913565000000","27301839000000","27977047000000","31464334000000","31533408000000","33873043000000","",
"Eswatini, Kingdom of","734","Net Primary Income from Abroad, Nominal, Domestic Currency","NGDPNPI_XDC","Value","574700000","291500000","47900000","-83900000",,,,,,,,,,,,,,,,"",
"Bolivia","218","Net Primary Income from Abroad, Nominal, Domestic Currency","NGDPNPI_XDC","Value","-1393655000","-1394887000","-1471403501.7","-2314815460.00001","-3058177115.3194","-2399437369.48632","-3941557297.18279","-1677895446.246","-3917825567.48953","-4763847141.84274","-6079355168.39239","-6887594599.1335","-14269129996.4281",,,,,,,"",
